name,popularity,price,rating,distance,latitude,longitude,stationId,totalBikes,poiCat
Rally's,,,,220.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
Checkers,9.72,1.0,61.0,224.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
Cleanstreet,,,,431.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
Popeyes Louisiana Kitchen,9.89,1.0,56.0,481.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
Green Garden Cafe,,,,504.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
Homan Squar Cafe 2,,,,512.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
Dave's Red Hots,9.4,1.0,67.0,529.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
Super Submarine,9.43,1.0,,541.0,41.866225,-87.717918,584321ec5b291b649a16c14af2335357,2.0,restaurant
Subway,9.48,1.0,66.0,53.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
Olive Garden,9.91,2.0,82.0,227.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
Mirabella Italian Cuisine & Bar,9.66,4.0,72.0,399.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
La Nonna,9.87,2.0,77.0,404.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
Manee Thai Restaurant,9.3,1.0,75.0,631.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
Brudders Lounge,9.76,3.0,78.0,634.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
J's Corner Hot Dogs,9.66,1.0,66.0,636.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
La Villa Restaurant,9.91,3.0,87.0,642.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
La Biznaga,8.57,1.0,,645.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
Big Teddy Bear,8.65,3.0,,645.0,41.94655,-87.719827,e0b2c75d1a99c6607779813b1a251b1d,4.0,restaurant
Chico’s Oven,9.34,1.0,,66.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
Rocky Pancake House,6.3,1.0,,72.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
Pepe's Mexican Restaurants,9.85,1.0,,174.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
El Jacalito,9.64,1.0,,310.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
Southside African Restaurant,7.79,2.0,,328.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
Genesis Carry Out,,,,403.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
Cecy's Molino De Masa,,,,552.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
Los Tacos & Desserts,,,,556.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
Paleteria El Portillo,9.47,1.0,,565.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
Mayas Pizza,9.64,1.0,,570.0,41.744615,-87.551208,aca5547510a7ecb26ca56a9dc7c65219,11.0,restaurant
Ketel One Club,9.8,3.0,75.0,59.0,41.88137,-87.67493,7fc647c996c1e48a3f1e10f92753287d,15.0,restaurant
Backstage Cantina,1.33,1.0,,82.0,41.88137,-87.67493,7fc647c996c1e48a3f1e10f92753287d,15.0,restaurant
Sinha Elegant Cuisine,9.7,2.0,75.0,342.0,41.88137,-87.67493,7fc647c996c1e48a3f1e10f92753287d,15.0,restaurant
Church's Chicken,9.74,1.0,61.0,536.0,41.88137,-87.67493,7fc647c996c1e48a3f1e10f92753287d,15.0,restaurant
